subject;sequence;period;group.internal;notation;experiment.id;features;quality;accuracy;f1a;f2a;f2b;f2c;f2d;f2e;f3a;f3b;f4a;f4b;f4c;f4d;f4e;f4f;f4g;f5a;f5b;q1;q2;q3;q4;q5;q6
1;2;1;beginner, professional;kv;experiment24;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;2;2;beginner, professional;nl;experiment25;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;beginner, professional;nl;experiment32;0,94;0,50;72,06;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1
2;1;2;beginner, professional;kv;experiment33;1,00;0,67;83,33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
3;2;1;advanced, professional;kv;experiment36;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;2;2;advanced, professional;nl;experiment37;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;1;advanced, professional;nl;experiment38;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;2;advanced, professional;kv;experiment39;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;2;1;advanced, student;kv;experiment40;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;2;2;advanced, student;nl;experiment41;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;1;beginner, professional;nl;experiment45;0,94;0,50;72,06;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
6;1;2;beginner, professional;kv;experiment46;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;2;1;beginner, professional;kv;experiment49;0,94;0,17;55,39;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0
7;2;2;beginner, professional;nl;experiment50;1,00;0,50;75,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1
8;2;1;advanced, professional;kv;experiment58;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;2;2;advanced, professional;nl;experiment59;0,94;0,33;63,73;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1
9;2;1;advanced, professional;kv;experiment57;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;2;2;advanced, professional;nl;experiment60;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;1;beginner, professional;nl;experiment61;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;2;beginner, professional;kv;experiment63;0,94;0,50;72,06;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
11;1;1;advanced, professional;nl;experiment62;0,94;0,33;63,73;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1
11;1;2;advanced, professional;kv;experiment64;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;2;1;beginner, student;kv;experiment68;1,00;0,83;91,67;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
12;2;2;beginner, student;nl;experiment71;1,00;0,50;75,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
13;2;1;advanced, professional;kv;experiment74;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13;2;2;advanced, professional;nl;experiment75;0,88;0,67;77,45;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
14;1;1;advanced, professional;nl;experiment78;0,94;0,67;80,39;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
14;1;2;advanced, professional;kv;experiment79;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
15;2;1;beginner, professional;kv;experiment89;0,94;0,67;80,39;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
15;2;2;beginner, professional;nl;experiment92;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16;2;1;beginner, professional;kv;experiment88;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;2;2;beginner, professional;nl;experiment91;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;2;1;beginner, professional;kv;experiment97;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;2;2;beginner, professional;nl;experiment98;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;1;1;beginner, professional;nl;experiment101;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;2;beginner, professional;kv;experiment102;0,94;0,67;80,39;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
19;2;1;beginner, professional;kv;experiment105;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
19;2;2;beginner, professional;nl;experiment108;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2;1;advanced, professional;kv;experiment106;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
20;2;2;advanced, professional;nl;experiment107;1,00;0,67;83,33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
21;1;1;advanced, professional;nl;experiment111;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;1;2;advanced, professional;kv;experiment112;1,00;0,50;75,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
22;1;1;advanced, professional;nl;experiment115;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;1;2;advanced, professional;kv;experiment117;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;beginner, professional;nl;experiment116;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;2;beginner, professional;kv;experiment118;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;advanced, professional;nl;experiment120;0,94;0,50;72,06;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1
24;1;2;advanced, professional;kv;experiment123;1,00;1,00;100,00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
