feature;notation;accuracy;value
f1a;nl;incorrect;10,42
f1a;nl;correct;89,58
f1a;kv;incorrect;10,42
f1a;kv;correct;89,58
f2a;nl;incorrect;8,33
f2a;nl;correct;91,67
f2a;kv;incorrect;8,33
f2a;kv;correct;91,67
f2b;nl;incorrect;12,5
f2b;nl;correct;87,5
f2b;kv;incorrect;8,33
f2b;kv;correct;91,67
f2c;nl;incorrect;12,5
f2c;nl;correct;87,5
f2c;kv;incorrect;10,42
f2c;kv;correct;89,58
f2d;nl;incorrect;18,75
f2d;nl;correct;81,25
f2d;kv;incorrect;8,33
f2d;kv;correct;91,67
f2e;nl;incorrect;37,5
f2e;nl;correct;62,5
f2e;kv;incorrect;29,17
f2e;kv;correct;70,83
f3a;nl;incorrect;8,33
f3a;nl;correct;91,67
f3a;kv;incorrect;8,33
f3a;kv;correct;91,67
f3b;nl;incorrect;8,33
f3b;nl;correct;91,67
f3b;kv;incorrect;8,33
f3b;kv;correct;91,67
f4a;nl;incorrect;8,33
f4a;nl;correct;91,67
f4a;kv;incorrect;8,33
f4a;kv;correct;91,67
f4b;nl;incorrect;8,33
f4b;nl;correct;91,67
f4b;kv;incorrect;8,33
f4b;kv;correct;91,67
f4c;nl;incorrect;8,33
f4c;nl;correct;91,67
f4c;kv;incorrect;8,33
f4c;kv;correct;91,67
f4d;nl;incorrect;8,33
f4d;nl;correct;91,67
f4d;kv;incorrect;8,33
f4d;kv;correct;91,67
f4e;nl;incorrect;8,33
f4e;nl;correct;91,67
f4e;kv;incorrect;8,33
f4e;kv;correct;91,67
f4f;nl;incorrect;8,33
f4f;nl;correct;91,67
f4f;kv;incorrect;8,33
f4f;kv;correct;91,67
f4g;nl;incorrect;8,33
f4g;nl;correct;91,67
f4g;kv;incorrect;8,33
f4g;kv;correct;91,67
f5a;nl;incorrect;8,33
f5a;nl;correct;91,67
f5a;kv;incorrect;8,33
f5a;kv;correct;91,67
f5b;nl;incorrect;14,58
f5b;nl;correct;85,42
f5b;kv;incorrect;12,5
f5b;kv;correct;87,5
