subject;sequence;period;group.internal;notation;experiment.id;user.time;system.time;delta.time;time;sus;accuracy;rank
1;2;1;beginner, professional;kv;experiment24;07:09;07:09;00:00;07:09;82,5;100;1st place
1;2;2;beginner, professional;nl;experiment25;06:55;06:55;00:00;06:55;42,5;100;2nd place
2;1;1;beginner, professional;nl;experiment32;11:59;12:25;00:26;11:59;90;72,06;1st place
2;1;2;beginner, professional;kv;experiment33;13:42;13:53;00:11;13:42;77,5;83,33;2nd place
3;2;1;advanced, professional;kv;experiment36;11:00;11:22;00:22;11:00;90;100;1st place
3;2;2;advanced, professional;nl;experiment37;09:45;09:44;00:01;09:44;70;100;2nd place
4;1;1;advanced, professional;nl;experiment38;13:29;13:23;00:06;13:23;82,5;100;2nd place
4;1;2;advanced, professional;kv;experiment39;07:21;07:21;00:00;07:21;92,5;100;1st place
5;2;1;advanced, student;kv;experiment40;09:16;09:14;00:02;09:14;90;100;1st place
5;2;2;advanced, student;nl;experiment41;06:49;06:45;00:04;06:45;50;100;2nd place
6;1;1;beginner, professional;nl;experiment45;18:25;19:03;00:38;18:25;72,5;72,06;2nd place
6;1;2;beginner, professional;kv;experiment46;07:30;08:19;00:49;07:30;75;100;1st place
7;2;1;beginner, professional;kv;experiment49;08:03;08:20;00:17;08:03;77,5;55,39;1st place
7;2;2;beginner, professional;nl;experiment50;10:02;10:23;00:21;10:02;60;75;2nd place
8;2;1;advanced, professional;kv;experiment58;06:01;09:02;03:01;06:01;72,5;100;1st place
8;2;2;advanced, professional;nl;experiment59;05:27;05:23;00:04;05:23;52,5;63,73;2nd place
9;2;1;advanced, professional;kv;experiment57;07:22;07:20;00:02;07:20;92,5;100;1st place
9;2;2;advanced, professional;nl;experiment60;07:40;07:42;00:02;07:40;40;100;2nd place
10;1;1;beginner, professional;nl;experiment61;11:40;12:11;00:31;11:40;57,5;100;2nd place
10;1;2;beginner, professional;kv;experiment63;05:33;05:36;00:03;05:33;57,5;90;1st place
11;1;1;advanced, professional;nl;experiment62;20:00;20:34;00:34;20:00;42,5;75,49;2nd place
11;1;2;advanced, professional;kv;experiment64;09:17;09:23;00:06;09:17;52,5;100;1st place
