id;seed;startdate;datestamp;SEQUENCE;TREATMENT1NLID;TREATMENT1NLTIME;PERIOD1;NOTATION1;TREATMENT1NLSUS[SQ001];TREATMENT1NLSUS[SQ002];TREATMENT1NLSUS[SQ003];TREATMENT1NLSUS[SQ004];TREATMENT1NLSUS[SQ005];TREATMENT1NLSUS[SQ006];TREATMENT1NLSUS[SQ007];TREATMENT1NLSUS[SQ008];TREATMENT1NLSUS[SQ009];TREATMENT1NLSUS[SQ010];TREATMENT1NLCOMMENTS;TREATMENT2KVID;TREATMENT2KVTIME;PERIOD2;NOTATION2;TREATMENT2KVSUS[SQ001];TREATMENT2KVSUS[SQ002];TREATMENT2KVSUS[SQ003];TREATMENT2KVSUS[SQ004];TREATMENT2KVSUS[SQ005];TREATMENT2KVSUS[SQ006];TREATMENT2KVSUS[SQ007];TREATMENT2KVSUS[SQ008];TREATMENT2KVSUS[SQ009];TREATMENT2KVSUS[SQ010];TREATMENT2KVCOMMENTS;RANKING[SQ001];RANKING[SQ002];RANKINGEXPLAIN;CLAIMEFFICIENCY[SQ001];CLAIMEFFECTIVENESS[SQ001];TEXTasFIRSTSTEP[SQ001];TEXTwithGUI[SQ001];GENERALCOMMENTS;PAYMENTYESNO
13;434964103;18.07.22 09:36;18.07.22 11:02;1;experiment12;25:25:00;1;nl;5 - strongly agree;1 - strongly disagree;5 - strongly agree;5 - strongly agree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;;experiment13;13:21;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;;2nd place;1st place;It took me less time;5 - strongly agree;5 - strongly agree;5 - strongly agree;5 - strongly agree;;No
15;349662352;18.07.22 14:33;18.07.22 15:48;1;experiment19;23:33;1;nl;2;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;4;5 - strongly agree;4;3;1 - strongly disagree;"All in all a nice tool but there are easier tools for the creation of small in-video-assessments, like Lumi/H5P. 
To be fair, as soon as one gets that everything is case-sensitive, it is easy to use and could be faster then Lumi/H5P, if you already know the exact seconds where to put the question and you just type it down.";experiment20;11:14;2;kv;3;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;2;5 - strongly agree;1 - strongly disagree;Like with the other tastk, I guess if you have the seconds where to insert the questions at hand, one might save time if one wants to ask several quastions within one video in comparison to a GUI-based editor.;2nd place;1st place;In order to use both of the notation systems, you need to get used to it. The key-value notation system is faster to use.;5 - strongly agree;5 - strongly agree;4;4;combining a Gui with the textual notation would be great. Thus, one could click in the video timeline where to put the question and continue coding the other elements of the video module. ;No
18;53809797;20.07.22 12:33;20.07.22 13:35;1;experiment32;11:59;1;nl;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;2;4;2;5 - strongly agree;1 - strongly disagree;After creating the first few statements I got into it. The help section answered all my questions and made it easy to begin.;experiment33;13:42;2;kv;4;2;4;3;4;3;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;The editing experience was fine. It was easy to get into it.;1st place;2nd place;Even though key-value notation was not hard to understand, the natural-language notation felt closer to natural language and therefore when reading it, I was faster at comprehending the meaning. ;4;5 - strongly agree;5 - strongly agree;5 - strongly agree;;Yes
20;1570536953;21.07.22 11:01;21.07.22 12:03;1;experiment38;13:29;1;nl;3;1 - strongly disagree;5 - strongly agree;2;4;1 - strongly disagree;4;2;4;1 - strongly disagree;From my experience, I think it was really easy to use. The window with 'example code' helped a lot when I forgot what to do. From the tutorial, I also knew where to look for help. However, if the person wants to do something more complex than just adding questions and videos and have no prior coding experience I think it could be a bit difficult to use and technical support would be needed in that case.;experiment39;07:21;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;3;5 - strongly agree;1 - strongly disagree;5 - strongly agree;2;5 - strongly agree;1 - strongly disagree;Maybe, it would be worth exploring 'drag and drop' options? It would be nice to have it in the 'help window' and just fill the necessary data, I think it would be much faster to create the modules, especially for people with no coding experience. Or at least to have a possibility to copy the code from the help window. Also, the autofill for some commands is not working which makes it prone to typos which I personally always struggle with. Anyway, this variant of the language was much clearer than the previous one.;2nd place;1st place;I think Key-Value is much clearer to use, the body of the code is not so crowdy. ;4;4;4;5 - strongly agree;Very well-structured experiment, good luck!;Yes
22;1543611468;10.08.22 09:36;10.08.22 10:57;1;experiment45;18:25;1;nl;4;2;4;3;5 - strongly agree;3;4;2;3;1 - strongly disagree;The editor is easy to use. Even for a person who does not come from the field of computer science, it is very easy to understand the principles of the program. However, it would have been helpful, if the importance of the input (capital letters for example)  would have been emphasized the explanatory video. I had to correct some mistakes in the end. The error message box on the right side was very helpful. Otherwise I would get annoyed very quickly searching for the mistakes.;experiment46;07:30;2;kv;4;5 - strongly agree;5 - strongly agree;1 - strongly disagree;4;3;5 - strongly agree;1 - strongly disagree;4;2;Its a lot easier compared to the first one - very simple, no unnecessary words. The experiment has shown me that just the commands (Create, Set,..) are very prone to errors;2nd place;1st place;"the Typing (Capital Letters) is important in the Natural-Language and therefore a source for errors. The Key-Value Notation is not as easy to understand as the Natural-Language (for a first user), because you do not see the commands.

I think it was helpful to use the Natural-Language Notation first, the transfer to the Key-Value was easy then. The Natural-Language Notation shows the structure better, the key-value Notation is more simplex and more easy to use though.";3;5 - strongly agree;2;5 - strongly agree;It is helpful to have a formula in an GUI (e.g. moodle) that helps with the usability but it is also very helpful (e.g. for e-developers) to see the coding behind in such an editor. It it often easier to change things in the Notation.;No
24;1216904780;11.08.22 11:03;11.08.22 12:02;1;54;15:00;1;nl;4;2;4;2;4;2;4;4;4;2;After watching the introductory video, taking written notes, I was able to accomplish the task quite well.  ;55;14:30;2;kv;4;2;4;2;4;2;4;4;4;2;The combination of the introductory video and the explanations in the storyboard allow for the guided creation of the video. In perspective, I consider 15 min to be sufficient time, however, the first time, 30 min should be scheduled.;2nd place;1st place;I prefer key value because I don't think it needs verbs to progarm, they just delay the process. ;4;4;4;4;;Yes
27;1137248348;12.08.22 09:33;12.08.22 10:38;1;ID: experiment61;11:40;1;nl;3;2;3;3;5 - strongly agree;1 - strongly disagree;3;3;2;4;I am not at all accustomed to use notations like this, but the video tutorial explained very well how to use it and the explanations and examples in the editing board itself were very helpful. Well, to be honest I just followed the instructions step by step and used the examples in the editing board menu to fulfill the task in an analogous manner. Without these examples I would not have been able to get started at all. So I wonder, how I would use the notation system to create anything that differs from what is explained and shown in the editing board...;ID: experiment63;05:33;2;kv;3;2;3;3;5 - strongly agree;1 - strongly disagree;3;3;2;4;"For the second task I needed half of the time compared to the first task. This is mainly due to the fact that I learned a lot from working on the first task.
I see that the key-value notation is also quicker to use because you need to type less text.
Nevertheless I find both notation formats equally easy or complex to use. In both cases I followed the instructions step by step and used the examples to complete the task in an analogous manner. It was not problem for me to do this. But in both cases my concern is, how I could use the notation system to create content that differns from what is shown in the examples...";2nd place;1st place;"As already commented, I find both notation formats more or less equally easy or complex to use. 
But the advantage of the key-value notation is, that you have to type less text, so you save time and it is less error-prone.";3;4;4;4;"For me it was the first time to use a notation system like this and I don´t have any experience with programming, so I am not very confident.
But I think if I used such a notation system more often and if it would be combined with a GUI representation, I could get accustomed to it. Especially if there are very easy step by step explanations with examples how to use the tool, like in this case.
In the end, I think it is a very interesting tool!";No
28;1711638257;12.08.22 09:33;12.08.22 10:41;1;experiment62;20:00;1;nl;2;3;2;3;3;3;3;4;3;3;"I found the following:
1. The instructions were quite cramped. If the steps would have been in a bullet point list, I might have been able to follow them better. One of the reasons for spending a few extra minutes on the task was due to having to jump between windows (instruction/documentation/script), which made me lose the trail of thought. 

2. The text editor is quite simple in its functionality. The auto-completion was present but limited. There was no apparent way of commenting on lines of code, and the error message was very basic.

3. The documentation pop-up window was obstructive. I tried different window sizes, yet the pop-up window was always on top of the text editor. This made it challenging to write as it was hiding part of the text.

4. I am unsure how this way of creating storyboards is better than a more drag-and-drop interface. I wished I could simply click on the buttons from the documentation section and instantly get the line of code corresponding to that command. 
The NLP part is only marginally improving the readability of the script, but it yet resembles a lot of a high-level interpreting language like Python. Writing letter by letter (a limitation of the text editor) makes it more cumbersome than useful.

5. I am curious to see how this tool will evolve. It seems to be at a beta stage, and many more established features from other IDEs could be implemented. ";experiment64;09:17;2;kv;3;3;3;3;4;3;4;4;3;3;"The second round was easier as I simply got the gist of using the interface and hopping between documentation and instructions. However, I lost some precious time (;) joking) as I copy pasted a snippet of text at the end of the script that I did not see as the text editor does not allow full-screen preview mode. It took me some time to figure out where the error was as the error message did not indicate which line to look.

However, the second time was much more fun. ";2nd place;1st place;Although the differences were subtle, I found the key-value notation way more succinct and intuitive. ;3;3;2;3;I think the tool is at a promising start, and through cycles of iterations and incremental improvements in the UI, the IntelliSense, and the language, it could be useful in the near future. ;Yes
29;1916684881;16.08.22 11:09;16.08.22 12:04;1;experiment66;13:01;1;nl;4;2;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;"I stumbled over the the notation being case sensitive. I don’t know if it’s necessary but as the sentences aren’t terminated with a period, I wouldn’t have expected the phrase initial keywords to be case sensitive either.
Also, the help window gets in the way of the notation editor when it is too big. It would be great if one could move it around to be able to keep it open while editing.";experiment67;08:14;2;kv;4;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;3;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;;1st place;1st place;I feel fine using either approach, though I might slightly lean towards the key-value notation as it feels a bit faster to me.;4;3;5 - strongly agree;5 - strongly agree;;No
30;376903251;17.08.22 09:32;17.08.22 10:24;1;ID: experiment78;16:46;1;nl;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;3;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;Editing: it wuold be nice to have certain commands highlighted (different color) (like it was when I accidentially wrote commands with lower cases);ID: experiment79;06:09;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;3;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;;1st place;1st place;Natural language is probably easier to learn for persons who are not used to such things, but once you have got it, key-value notation is faster. But I could work with both of them without problems.;4;4;4;4;;No
31;78191451;22.08.22 13:04;22.08.22 14:05;1;experiment101;15:49;1;nl;4;4;4;2;5 - strongly agree;1 - strongly disagree;5 - strongly agree;5 - strongly agree;4;1 - strongly disagree;"I didn't do the last step. That was the difficult one for me. 
I think this way of making storyboard can be usefull of they are not to complicated.";experiment102;09:18;2;kv;5 - strongly agree;5 - strongly agree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;5 - strongly agree;5 - strongly agree;1 - strongly disagree;This methode is for me a better way of doing.;2nd place;1st place;"With the Key-value notation I was able to finish the task. This feld also natural for me to work with.
The Natural-language notation had to many steps to define and set thinks up in the storyboard.
";4;4;4;4;;No
32;138148317;24.08.22 12:32;24.08.22 13:23;1;experiment111;10:45;1;nl;4;2;4;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;2;5 - strongly agree;1 - strongly disagree;"Some code lines appear a bit long... this can be cumbersome in daily use. There are lot of repetitions needed; maybe an additional auto-completion (or suggestions/recommendations) would help.
I like the autocompletion suggestions. Also the examples help.";experiment112;05:59;2;kv;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;"easy to use.
reminds me a bit of the syntax for markdown as used in hugo (for websites)

i like that it is quite short

auto-complete for syntax would be useful. e.g., for instance if a line starts with ""video"", then there are several options for attributes such as ""title"" or ""URL"" - these could be suggested.";2nd place;1st place;"the key-value notation is far shorter. making it more concise.
the N-L notation is long. and it is easy to forget a part. first create, then set,... etc. it makes it lengthy, which is unnecessary complex (to read the code afterwards; also to find an error)";4;3;2;5 - strongly agree;"i think text-based and GUI should be combined from the beginning so that a user can switch whenever wanted. drag and drop can be very useful. also for adjusting the order, drag and drop can be very handy if only slight changes are needed. for a completely different order, the text-based approach is more handy.

for setting the video URL and title etc. i think that the text-based approach is more efficient. it is also easier to see mistakes and adjust them. thus, making the tete-based approach also more effective for this.

if everything needs to be done with the text-based approach, I am not sure if it will lead to a lot of mistakes (e.g., missing something) if done for a lot of videos. but using code excerpts as templates for a lot of modules could be very useful. (both for efficiency and effectiveness)";No
33;2144887083;26.08.22 11:04;26.08.22 12:12;1;116;26;1;nl;3;3;4;2;4;1 - strongly disagree;2;4;3;3;;118;00:09;2;kv;3;3;4;2;5 - strongly agree;2;3;3;4;2;;2nd place;1st place;Das könnte aber auch daran liegen, dass ich Key-Value Notation mit der generellen Struktur bereits vertrauter war.;4;4;3;3;Wenn man mit Programmiersprachen nicht vertraut ist bzw. diese länger nicht genutzt hat, stellt das für mich (trotz sehr guter Erklärungen) eine Einstiegshürde dar bzw. führt dazu, dass man evtl. mehr Zeit für die Umsetzung benötigt.;No
34;94066256;26.08.22 11:04;26.08.22 12:01;1;experiment115;08:23;1;nl;2;3;4;1 - strongly disagree;4;3;4;2;4;1 - strongly disagree;"Positive notes:
+ the documentation is easy to understand
+ documentation stays open while typing
Negative notes:
- cannot copy/paste from the docs
- if I click a timestamp in the preview it jumps to the video (on the same tab)
- not all commands are intuitive, e.g., why is ""with"" used only with ""id"", except for the module? Can I use ""with"" also with, e.g. ""URL""? 
- why is upper case mandatory?";experiment117;05:15;2;kv;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;4;1 - strongly disagree;2;1 - strongly disagree;5 - strongly agree;2;"Positive notes:
+ the notation is very clear, no inconsistencies
+ easier to learn

Negative
- not human readable
- notation might need background information/experience in programming";2nd place;1st place;- easier to learn the syntax, less syntactical details;4;2;3;3;"The answers here are subjective, i.e., I personally have experience with programming and markup languages, etc.

If you ask me, if the textual notation would be useful for non-experienced, non-technical people my answers would be different. I would clearly say that the combination of a editing GUI and a simple notation language could be helpful to these people. ";No
35;118091000;26.08.22 14:33;26.08.22 15:36;1;experiment120;13:58;1;nl;4;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;Very convenient language, easy to use;experiment123;07:56;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;Very concise, but also convenient and easy to use;2nd place;1st place;Both are easy to use, key-value notation is more concise and probably therefore for longer videos more convenient;4;4;4;5 - strongly agree;;Yes
36;1714552698;30.08.22 14:32;30.08.22 15:27;1;experiment130;18:12;1;nl;4;1 - strongly disagree;4;1 - strongly disagree;4;1 - strongly disagree;5 - strongly agree;2;5 - strongly agree;2;The feedback during the process is very helpfull to find mistakes in the syntaxis of the storyboard.;experiment131;07:06;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;2;This notation is more easy to use because it combines multiple values;2nd place;1st place;In the key-value notation multiple values are combined witch makes it easier en faster to use. The values for a video or a textpage have to be set anyhow. So combined in 1 command-line makes it easier to use.;5 - strongly agree;4;4;5 - strongly agree;/;No
37;392865567;30.08.22 19:02;30.08.22 20:59;1;ID: experiment136;46:15:00;1;nl;4;2;5 - strongly agree;2;4;1 - strongly disagree;5 - strongly agree;4;5 - strongly agree;2;;ID: experiment137;18:20;2;kv;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;1 - strongly disagree;5 - strongly agree;5 - strongly agree;5 - strongly agree;1 - strongly disagree;"This notation was much easier to use, 
less possibilities to make mistakes, 
therefore I was a lot quicker.

My evaluation for the first notation was too good, I didn't think, that it could be easier ...";2nd place;1st place;"The Key-Value Notation is shorter and easier, therefore less possibilities to make mistakes

Better overview (e.g. for checks)";4;3;4;5 - strongly agree;As I usually don't use notations, it is difficult to assess the effectiveness and the efficiency . I am not able to compare ...;No
