"id";"seed";"startdate";"datestamp";"SEQUENCE";"TREATMENT1KVID";"TREATMENT1KVTIME";"PERIOD1";"NOTATION1";"TREATMENT1KVSUS[SQ001]";"TREATMENT1KVSUS[SQ002]";"TREATMENT1KVSUS[SQ003]";"TREATMENT1KVSUS[SQ004]";"TREATMENT1KVSUS[SQ005]";"TREATMENT1KVSUS[SQ006]";"TREATMENT1KVSUS[SQ007]";"TREATMENT1KVSUS[SQ008]";"TREATMENT1KVSUS[SQ009]";"TREATMENT1KVSUS[SQ010]";"TREATMENT1KVCOMMENTS";"TREATMENT2NLID";"TREATMENT2NLTIME";"PERIOD2";"NOTATION2";"TREATMENT2NLSUS[SQ001]";"TREATMENT2NLSUS[SQ002]";"TREATMENT2NLSUS[SQ003]";"TREATMENT2NLSUS[SQ004]";"TREATMENT2NLSUS[SQ005]";"TREATMENT2NLSUS[SQ006]";"TREATMENT2NLSUS[SQ007]";"TREATMENT2NLSUS[SQ008]";"TREATMENT2NLSUS[SQ009]";"TREATMENT2NLSUS[SQ010]";"TREATMENT2NLCOMMENTS";"RANKING[SQ001]";"RANKING[SQ002]";"RANKINGEXPLAIN";"CLAIMEFFICIENCY[SQ001]";"CLAIMEFFECTIVENESS[SQ001]";"TEXTasFIRSTSTEP[SQ001]";"TEXTwithGUI[SQ001]";"GENERALCOMMENTS";"PAYMENTYESNO"
"12";"1164639921";"2022-09-01 09:04:07";"2022-09-01 10:04:21";"2";"experiment141";"11:50";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"2";"4";"1 - strongly disagree";"I edited it step-by-step, looking at the explanation of the commands when needed. After I checked what I have created, I have found minor mistakes like the structure of the module was wrong, but I believe that I finished successfully. I enjoyed programming with this language, although normally I don't like programming that much. ";"experiment 143";"9:30";"2";"nl";"3";"3";"4";"1 - strongly disagree";"3";"2";"4";"4";"3";"1 - strongly disagree";"I found it cumbersome to use this notation language, although I got used to it after a while. Again, step-by-step and I believe to have finished succesfully. I think, with so many commands, it gets unnecessarily complex. ";"2nd place";"1st place";"The reason for the ranking is that I found the Key-Value notation easier to use. As there were more commands to type in in the natural language notation, I found it harder, even though I finished faster. But the faster pace was due to the fact that I got accustomed to the task, and I believe it was not due to the notation languages. ";"2";"2";"3";"2";"";"Yes"
"13";"1810830370";"2022-09-01 11:02:52";"2022-09-01 11:58:35";"2";"experiment146";"15:48";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"4";"5 - strongly agree";"1 - strongly disagree";"";"experiment148";"10:55";"2";"nl";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"4";"5 - strongly agree";"1 - strongly disagree";"";"2nd place";"1st place";"Key-Value notation is faster to use, because it leaves away unaccesary words like to.
The reason I was faster in the second attempt was a learning effect.
Otherwise the natural-language notation would be slower.";"4";"4";"4";"4";"";"Yes"
"14";"163196166";"2022-09-01 13:02:14";"2022-09-01 14:05:22";"2";"experiment150";"08:21";"1";"kv";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"2";"5 - strongly agree";"2";"The language is very easy to understand and use for the first time, but I would guess the functions get repetitive, needing to be rewritten for every syntax/function.";"experiment152";"13:15";"2";"nl";"3";"3";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"2";"5 - strongly agree";"1 - strongly disagree";"I had a typo that the language did not figure out and I had to manually find it. I typed ""sinceChoice"" instead of ""singleChoice"". The task was easy to finish, if not taking into account my mistake.";"2nd place";"1st place";"The Key-Value notation is more consistent in the way that you do not need to choose between add/set/create for every action, it is more straight forward. The simplicity saves time and the code looks better(is easier to read).";"4";"2";"4";"5 - strongly agree";"";"Yes"
"15";"228850726";"2022-09-01 14:59:29";"2022-09-01 15:57:22";"2";"experiment157";"10:44";"1";"kv";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"It was easy. I finished it successfully";"experiment158";"09:08";"2";"nl";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"3";"1 - strongly disagree";"4";"1 - strongly disagree";"I finished it successfully. It was easy";"1st place";"2nd place";"It was just easier and more clear to me using the natural language Notation";"3";"4";"4";"4";"";"Yes"
"16";"1656532740";"2022-09-01 17:03:24";"2022-09-01 17:55:14";"2";"experiment160";"11:45";"1";"kv";"4";"1 - strongly disagree";"5 - strongly agree";"2";"4";"1 - strongly disagree";"5 - strongly agree";"3";"4";"2";"I think the notation was very easy to use. I am not very experienced in programming and it was really easy for me because of how everything was well explained. I just followed every step exactly as it was written in the instructions, and in the end, I managed to complete the task successfully. ";"experiment161";"09:43";"2";"nl";"3";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"3";"4";"2";"This was also very easy to use, however in this example we had more lines in the code. So, from that point of view the first task was a bit easier. Apart from that, everything was fine, I even mange to finish this one faster.";"2nd place";"1st place";"I prefere Key-value Notation because there is less text to type, and code is shorter in the end. ";"4";"3";"4";"3";"";"Yes"
"17";"1189809838";"2022-09-01 19:00:33";"2022-09-01 20:14:42";"2";"experiment162";"15:12";"1";"kv";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"2";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"2";"The editing is really interesting. I have finished my example successfully. I think that the whole editing and the notation were not complex and are easy to learn.";"experiment168";"17:23";"2";"nl";"4";"2";"4";"2";"4";"2";"4";"2";"4";"2";"It was really interesting, I had a good time. The only thing I didnt like was that there was to much text to write (the notation is too long).";"2nd place";"1st place";"As someone who already has programming skills, I find the key-value notation to be more natural to this kind of editing and there is less text.";"3";"3";"4";"4";"";"Yes"
"18";"1498688813";"2022-09-01 21:02:25";"2022-09-01 21:52:58";"2";"experiment171";"07:48";"1";"kv";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"3";"it was quite easy to do, given the documentation that was availble and the video tutorial ";"experiment173";"09:15";"2";"nl";"2";"4";"3";"1 - strongly disagree";"3";"2";"5 - strongly agree";"4";"5 - strongly agree";"3";"I think that this notation has too much unnecessary wordings; overall I had the same approach like the first task ";"2nd place";"1st place";"Key-value notation is much faster to write, the code looks cleaner and is more understandable ";"5 - strongly agree";"5 - strongly agree";"3";"4";"";"Yes"
"19";"402530556";"2022-09-05 13:32:47";"2022-09-05 14:33:08";"2";"experiment180";"09:31";"1";"kv";"3";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"2";"4";"2";"I finished successfully and the process was easy and smooth. Obviously the instructions and the help buttons on the upper right side help a lot as they basically tell you how to do it exactly.";"experiment181";"07:30";"2";"nl";"3";"2";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"I did it faster than the last experiment as I already had the practice (by having done the other one first). However, I feel that people could take longer doing this experiment than the last one as it needs more input (more commands). At the same time, I think adding these inputs makes it easier to use for some people.";"1st place";"2nd place";"Even though the Key-Value notation is simpler and faster (at least in my opinion), I feel like the N-L Notation is clearer and would be easier for people to adopt.";"5 - strongly agree";"5 - strongly agree";"4";"4";"None.";"Yes"
"20";"1427495181";"2022-09-05 15:31:01";"2022-09-05 16:36:53";"2";"experiment183";"28:25";"1";"kv";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"2";"4";"3";"Easy edeting however you should  be very fokused when using it ";"experiment184";"13:12";"2";"nl";"5 - strongly agree";"2";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"5 - strongly agree";"3";"4";"more logical to use however it is easyer to make mistakes 
";"2nd place";"1st place";"less likley to make spelling mistakes - with the feedback easy to learn and efficent ";"4";"4";"5 - strongly agree";"5 - strongly agree";"";"Yes"
"21";"374526227";"2022-09-07 09:37:58";"2022-09-07 10:24:58";"2";"experiment195";"07:58";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"It is very user-friendly, I believe everyone could learn how to use it. ";"experiment196";"07:18";"2";"nl";"4";"2";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"";"1st place";"1st place";"I think both notations work very well. I would prefer the key-value one, but I think both are very user-friendly and easy to learn. ";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"4";"";"Yes"
