"id";"seed";"startdate";"datestamp";"SEQUENCE";"TREATMENT1NLID";"TREATMENT1NLTIME";"PERIOD1";"NOTATION1";"TREATMENT1NLSUS[SQ001]";"TREATMENT1NLSUS[SQ002]";"TREATMENT1NLSUS[SQ003]";"TREATMENT1NLSUS[SQ004]";"TREATMENT1NLSUS[SQ005]";"TREATMENT1NLSUS[SQ006]";"TREATMENT1NLSUS[SQ007]";"TREATMENT1NLSUS[SQ008]";"TREATMENT1NLSUS[SQ009]";"TREATMENT1NLSUS[SQ010]";"TREATMENT1NLCOMMENTS";"TREATMENT2KVID";"TREATMENT2KVTIME";"PERIOD2";"NOTATION2";"TREATMENT2KVSUS[SQ001]";"TREATMENT2KVSUS[SQ002]";"TREATMENT2KVSUS[SQ003]";"TREATMENT2KVSUS[SQ004]";"TREATMENT2KVSUS[SQ005]";"TREATMENT2KVSUS[SQ006]";"TREATMENT2KVSUS[SQ007]";"TREATMENT2KVSUS[SQ008]";"TREATMENT2KVSUS[SQ009]";"TREATMENT2KVSUS[SQ010]";"TREATMENT2KVCOMMENTS";"RANKING[SQ001]";"RANKING[SQ002]";"RANKINGEXPLAIN";"CLAIMEFFICIENCY[SQ001]";"CLAIMEFFECTIVENESS[SQ001]";"TEXTasFIRSTSTEP[SQ001]";"TEXTwithGUI[SQ001]";"GENERALCOMMENTS";"PAYMENTYESNO"
"11";"245833791";"2022-09-01 09:04:04";"2022-09-01 10:06:13";"1";"experiment142";"12:17";"1";"nl";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"3";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"Generally, I felt that following the tasks was quite easy especially with the help of the information at the top of the right-hand side. I went through them in a sequential manner. Beside the typos I had to correct, I successfully finished the tasks. I found this notation easy to learn and use.";"experiment144";"6:15";"2";"kv";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"3";"1 - strongly disagree";"5 - strongly agree";"2";"5 - strongly agree";"1 - strongly disagree";"This notation felt very similar to that in the first part. I could progress dynamically and finish the task with success in a short period of time.";"1st place";"1st place";"While I ranked both notations similarly, natural-language notation feels more comprehensible and intuitive, while key-value notation seems easier to use but requires a different kind of problem-solving approach.";"5 - strongly agree";"5 - strongly agree";"2";"3";"";"Yes"
"12";"811855564";"2022-09-01 11:02:15";"2022-09-01 11:58:42";"1";"experiment145";"07:17";"1";"nl";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"4";"5 - strongly agree";"4";"interesting experience, quite easy to understand. What confused me at first is that functions (Create, Set, Add) are case-sensitive, but ""types"" like video, timestamp etc. are not, even though they start with large letters in the help box. 
However, as programmers are usually lazy and to avoid irrelevant errors when compiling, I would prefer as less case-sensitive commands as possible.";"experiment147";"04:51";"2";"kv";"4";"1 - strongly disagree";"3";"2";"3";"1 - strongly disagree";"4";"3";"5 - strongly agree";"1 - strongly disagree";"it was also quite easy and understandable. For such a simple task it is more efficient and consistent to write, but not that easy to read and understand. In once case there is a unnecessary ambiguity: <question ""id_question"" question ""this is the question""> shows that it is not as clear as <Set question ""id_question"" to ""this is the question"">";"1st place";"2nd place";"It feels more natural, easy to understand even after not looking at it for several hours/days/weeks.
If the code is longer than just a few rows (eg for a website with multiple videos -> learning path), the natural language helps for better understanding and debugging the code as it is easy to understand when an object gets declared or a an attribute set. In comparison, the Key-Value Notation looks the same in the beginnng and one has to ready the full line to understand what is done with the object (timestamp, video...).
Furthermore, if one has experience with SQL, Python etc., it feels more logically as it reminds of object oriented programming (with classes and attributes).";"4";"5 - strongly agree";"4";"5 - strongly agree";"";"Yes"
"13";"1041534481";"2022-09-01 13:01:43";"2022-09-01 14:22:35";"1";"experiment151";"31:15";"1";"nl";"3";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"3";"5 - strongly agree";"1 - strongly disagree";"I finished successfully and the notation was actually really hopefully to find my errors otherwise I probably wouldn't have found the error on my own.";"experiment153";"10:14";"2";"kv";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"3";"5 - strongly agree";"1 - strongly disagree";"i finished successfully this time even faster. its really easy to use this notation once you get familiar with it";"2nd place";"1st place";"I think the key-value is easier to use because there isn't so much text so you can have an better overview than with the other notation. its just that you are more likely to make mistakes with the natural -language than with the key value.";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"3";"";"Yes"
"14";"1447529400";"2022-09-01 14:59:32";"2022-09-01 16:17:04";"1";"experiment156";"11:57";"1";"nl";"3";"1 - strongly disagree";"5 - strongly agree";"2";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"It is very easy and straightforward to use, even for people who have basic programming knowledge. The examples are easy to follow and very useful. Not sure about the availability of other functions: if yes - would be great to include all functions in top-right box; if no - it's very clear now. I have basically followed the video of ""how to use the notation"" to approach the editing. The preview box (bottom-right) is very helpful in telling the error/mistake in the script.";"experiment159";"7:47";"2";"kv";"2";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"2";"4";"1 - strongly disagree";"again this is easy to use, particularly after using the natural language notation. However, I prefer the natural language notation as using commands like ""create"", ""set"", and ""add"" is more straightforward, and I do not need to always check which part I'm working on. To be more precise, I can imagine that it would be easier for me to make mistakes when using key value as command as compared with natural language, especially if the tasks get more complicated.";"1st place";"2nd place";"both notations are easy to use, but personally it's easier to use commands like ""create"", ""set"", and ""add"", as it allows greater flexibility in my opinion. While working with the key-value notation, I always need to check which part I'm working on before entering the commands, which is not the case while using natural-language notation. As soon as I have the instruction flow by heart, I mostly know what to do with the natural-language notation as the script is more or less the same for all parts - ""id"", ""title"", ""body"". Also, since I'm a person with typo all the times, key-value notation may make it harder for me to find the typo.


this is just my personal feeling.";"2";"5 - strongly agree";"4";"5 - strongly agree";"";"Yes"
"15";"268423740";"2022-09-01 19:00:53";"2022-09-01 20:13:08";"1";"experiment164";"20:05";"1";"nl";"4";"1 - strongly disagree";"4";"2";"4";"2";"4";"2";"3";"2";"I think the notation was pretty clear and good overall, I think the window showing how to use functions is a bit too big. Furthermore, I think it would be even better if you point out keywords in some way, so that you can easily find functions in your code. ";"experime166";"15:30";"2";"kv";"2";"2";"2";"2";"3";"3";"2";"4";"2";"4";"At first, it seemed like this notation is more efficient, but I would say it is not. The first one was more straightforward, while reading the code you know what is assigned to what, and the second one it's confusing in my opinion.";"1st place";"2nd place";"I explained it on the previous page. I think the first one is more straightforward and less confusing.";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"4";"";"Yes"
"16";"2052958529";"2022-09-01 19:00:56";"2022-09-01 20:06:37";"1";"experiment163";"15:00";"1";"nl";"5 - strongly agree";"2";"5 - strongly agree";"3";"5 - strongly agree";"2";"5 - strongly agree";"3";"5 - strongly agree";"3";"It was user friendly.";"experiment167";"7:35";"2";"kv";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"2";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"5 - strongly agree";"Very user friendly.";"1st place";"2nd place";"I felt that the natural-language notation was a lot easier to understand as someone with lacking knowledge in informatics.

The second one was also very easy to work with, hence I had explanations on the upper right corner.";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"";"Yes"
"17";"232371420";"2022-09-01 21:02:30";"2022-09-01 21:58:24";"1";"172";"13:14";"1";"nl";"5 - strongly agree";"2";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"2";"1 - strongly disagree";"4";"2";"takes some time to get used but worked out in the end";"174";"11:12";"2";"kv";"1 - strongly disagree";"4";"2";"4";"3";"5 - strongly agree";"4";"4";"2";"3";"Unfortunately some output was shown in the preview which I could not make sense of ""prompt"" which I did not enter so I had to stop";"1st place";"2nd place";"For the first one I was able to find my errors and correct them for the Key value notation this was not possible therfore no output could be generated";"4";"3";"4";"5 - strongly agree";"";"Yes"
"18";"1291581061";"2022-09-02 08:45:11";"2022-09-02 09:25:04";"1";"experiment175";"09:40";"1";"nl";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"2";"1 - strongly disagree";"5 - strongly agree";"The experience was really good, I understood everything very well but I also used Python already. ";"experiment176";"05:23";"2";"kv";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"5 - strongly agree";"1 - strongly disagree";"1 - strongly disagree";"5 - strongly agree";"I really liked it and it was way quicker than the other one";"2nd place";"1st place";"The secound one is quicker";"2";"2";"4";"4";"";"Yes"
"19";"513903045";"2022-09-05 13:32:57";"2022-09-05 14:39:25";"1";"experiment179";"20:24";"1";"nl";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"";"experiment182";"08:42";"2";"kv";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"3";"1 - strongly disagree";"";"2nd place";"1st place";"Key value notation is efficient comparatively to the Natural-Language Notation";"4";"5 - strongly agree";"4";"5 - strongly agree";"";"Yes"
"20";"1474088125";"2022-09-05 20:58:47";"2022-09-05 21:52:29";"1";"experiment185";"11:30";"1";"nl";"4";"1 - strongly disagree";"5 - strongly agree";"2";"4";"1 - strongly disagree";"5 - strongly agree";"2";"4";"2";"It was pretty easy to understand, especially the section which describes how to type the attributes was really helpful.";"186";"09:00";"2";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"I think it was really functional and quick however without the first videos I would definitely have more difficulties understanding the second task";"2nd place";"1st place";"For the beginners natural language was much easier to understand but to be able to work more efficiently I think the key language was much quicker.";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"-";"Yes"
