"","subject","sequence","period","group.r","notation.r","duration.r","duration.log","accuracy","sus","rank.r"
"1",1,"KV-NL","1","beginner-professional","key-value",7.15,1.96711235670592,100,82.5,"1st place"
"2",1,"KV-NL","2","beginner-professional","natural language",6.91666666666667,1.9339339580086,100,42.5,"2nd place"
"3",2,"NL-KV","1","beginner-professional","natural language",11.9833333333333,2.48351679549895,85,90,"1st place"
"4",2,"NL-KV","2","beginner-professional","key-value",13.7,2.61739583283408,85,77.5,"2nd place"
"5",3,"KV-NL","1","advanced-professional","key-value",11,2.39789527279837,100,90,"1st place"
"6",3,"KV-NL","2","advanced-professional","natural language",9.73333333333333,2.27555642060613,100,70,"2nd place"
"7",4,"NL-KV","1","advanced-professional","natural language",13.3833333333333,2.59401015172466,100,82.5,"2nd place"
"8",4,"NL-KV","2","advanced-professional","key-value",7.35,1.99470031322475,100,92.5,"1st place"
"9",5,"KV-NL","1","advanced-student","key-value",9.23333333333333,2.22282012452518,100,90,"1st place"
"10",5,"KV-NL","2","advanced-student","natural language",6.75,1.90954250488444,100,50,"2nd place"
"11",6,"NL-KV","1","beginner-professional","natural language",18.4166666666667,2.91325605172975,85,72.5,"2nd place"
"12",6,"NL-KV","2","beginner-professional","key-value",7.5,2.01490302054226,100,75,"1st place"
"13",7,"KV-NL","1","beginner-professional","key-value",8.05,2.08567209143047,80,77.5,"1st place"
"14",7,"KV-NL","2","beginner-professional","natural language",10.0333333333333,2.30591288308672,90,60,"2nd place"
"15",8,"KV-NL","1","advanced-professional","key-value",6.01666666666667,1.79453339611078,100,72.5,"1st place"
"16",8,"KV-NL","2","advanced-professional","natural language",5.38333333333333,1.68330776100056,75,52.5,"2nd place"
"17",9,"KV-NL","1","advanced-professional","key-value",7.33333333333333,1.99243016469021,100,92.5,"1st place"
"18",9,"KV-NL","2","advanced-professional","natural language",7.66666666666667,2.03688192726104,100,40,"2nd place"
"19",10,"NL-KV","1","beginner-professional","natural language",11.6666666666667,2.4567357728213,100,57.5,"2nd place"
"20",10,"NL-KV","2","beginner-professional","key-value",5.55,1.71379792775834,90,57.5,"1st place"
"21",11,"NL-KV","1","advanced-professional","natural language",20,2.99573227355399,80,42.5,"2nd place"
"22",11,"NL-KV","2","advanced-professional","key-value",9.28333333333333,2.22822067770518,85,52.5,"1st place"
"23",12,"KV-NL","1","beginner-student","key-value",11.6666666666667,2.4567357728213,90,77.5,"2nd place"
"24",12,"KV-NL","2","beginner-student","natural language",22.15,3.09783749649114,85,75,"1st place"
"25",13,"KV-NL","1","advanced-professional","key-value",10.0333333333333,2.30591288308672,100,82.5,"1st place"
"26",13,"KV-NL","2","advanced-professional","natural language",12.7833333333333,2.54814223914516,60,22.5,"2nd place"
"27",14,"NL-KV","1","advanced-professional","natural language",16.7666666666667,2.81939278843758,85,90,"1st place"
"28",14,"NL-KV","2","advanced-professional","key-value",6.08333333333333,1.80555279136039,100,92.5,"1st place"
"29",15,"KV-NL","1","beginner-professional","key-value",12.4333333333333,2.52038103798166,85,70,"1st place"
"30",15,"KV-NL","2","beginner-professional","natural language",10.5166666666667,2.35296130031911,100,85,"1st place"
"31",16,"KV-NL","1","beginner-professional","key-value",17.1666666666667,2.84296951900158,0,57.5,"2nd place"
"32",16,"KV-NL","2","beginner-professional","natural language",8.16666666666667,2.10006082888257,100,72.5,"1st place"
"33",17,"KV-NL","1","beginner-professional","key-value",13.1166666666667,2.5738836861953,100,72.5,"1st place"
"34",17,"KV-NL","2","beginner-professional","natural language",11.4,2.43361335540045,100,50,"2nd place"
"35",18,"NL-KV","1","beginner-professional","natural language",15.8166666666667,2.76106423638783,0,72.5,"2nd place"
"36",18,"NL-KV","2","beginner-professional","key-value",9.3,2.23001440015921,85,80,"1st place"
"37",19,"KV-NL","1","beginner-professional","key-value",18.5166666666667,2.91867122741753,100,95,"1st place"
"38",19,"KV-NL","2","beginner-professional","natural language",21.5,3.06805293513362,0,60,"2nd place"
"39",20,"KV-NL","1","advanced-professional","key-value",12.45,2.52172062291072,100,65,"1st place"
"40",20,"KV-NL","2","advanced-professional","natural language",12.55,2.52972066557779,85,47.5,"2nd place"
"41",21,"NL-KV","1","advanced-professional","natural language",10.75,2.37490575457367,100,87.5,"2nd place"
"42",21,"NL-KV","2","advanced-professional","key-value",5.96666666666667,1.7861884241786,85,95,"1st place"
"43",22,"NL-KV","1","advanced-professional","natural language",8.36666666666667,2.12425555746963,100,70,"2nd place"
"44",22,"NL-KV","2","advanced-professional","key-value",5.23333333333333,1.65504842368615,100,85,"1st place"
"45",23,"NL-KV","1","beginner-professional","natural language",26,3.25809653802148,100,57.5,"2nd place"
"46",23,"NL-KV","2","beginner-professional","key-value",9,2.19722457733622,100,67.5,"1st place"
"47",24,"NL-KV","1","advanced-professional","natural language",13.7166666666667,2.61861163845497,85,97.5,"2nd place"
"48",24,"NL-KV","2","advanced-professional","key-value",7.93333333333333,2.07107329200932,100,100,"1st place"
"49",25,"KV-NL","1","advanced-professional","key-value",7.5,2.01490302054226,100,92.5,"1st place"
"50",25,"KV-NL","2","advanced-professional","natural language",7.66666666666667,2.03688192726104,100,72.5,"1st place"
"51",26,"NL-KV","1","beginner-professional","natural language",46.25,3.83406146395843,100,80,"2nd place"
"52",26,"NL-KV","2","beginner-professional","key-value",18.3333333333333,2.90872089656436,100,90,"1st place"
"53",27,"KV-NL","1","beginner-student","key-value",11.7833333333333,2.46668610367447,85,85,"1st place"
"54",27,"KV-NL","2","beginner-student","natural language",9.5,2.2512917986065,100,65,"2nd place"
