"","feature","notation","accuracy","value"
"1","f1a","nl","incorrect",10.42
"2","f1a","nl","correct",89.58
"3","f1a","kv","incorrect",10.42
"4","f1a","kv","correct",89.58
"5","f2a","nl","incorrect",8.33
"6","f2a","nl","correct",91.67
"7","f2a","kv","incorrect",8.33
"8","f2a","kv","correct",91.67
"9","f2b","nl","incorrect",12.5
"10","f2b","nl","correct",87.5
"11","f2b","kv","incorrect",8.33
"12","f2b","kv","correct",91.67
"13","f2c","nl","incorrect",12.5
"14","f2c","nl","correct",87.5
"15","f2c","kv","incorrect",10.42
"16","f2c","kv","correct",89.58
"17","f2d","nl","incorrect",18.75
"18","f2d","nl","correct",81.25
"19","f2d","kv","incorrect",8.33
"20","f2d","kv","correct",91.67
"21","f2e","nl","incorrect",37.5
"22","f2e","nl","correct",62.5
"23","f2e","kv","incorrect",29.17
"24","f2e","kv","correct",70.83
"25","f3a","nl","incorrect",8.33
"26","f3a","nl","correct",91.67
"27","f3a","kv","incorrect",8.33
"28","f3a","kv","correct",91.67
"29","f3b","nl","incorrect",8.33
"30","f3b","nl","correct",91.67
"31","f3b","kv","incorrect",8.33
"32","f3b","kv","correct",91.67
"33","f4a","nl","incorrect",8.33
"34","f4a","nl","correct",91.67
"35","f4a","kv","incorrect",8.33
"36","f4a","kv","correct",91.67
"37","f4b","nl","incorrect",8.33
"38","f4b","nl","correct",91.67
"39","f4b","kv","incorrect",8.33
"40","f4b","kv","correct",91.67
"41","f4c","nl","incorrect",8.33
"42","f4c","nl","correct",91.67
"43","f4c","kv","incorrect",8.33
"44","f4c","kv","correct",91.67
"45","f4d","nl","incorrect",8.33
"46","f4d","nl","correct",91.67
"47","f4d","kv","incorrect",8.33
"48","f4d","kv","correct",91.67
"49","f4e","nl","incorrect",8.33
"50","f4e","nl","correct",91.67
"51","f4e","kv","incorrect",8.33
"52","f4e","kv","correct",91.67
"53","f4f","nl","incorrect",8.33
"54","f4f","nl","correct",91.67
"55","f4f","kv","incorrect",8.33
"56","f4f","kv","correct",91.67
"57","f4g","nl","incorrect",8.33
"58","f4g","nl","correct",91.67
"59","f4g","kv","incorrect",8.33
"60","f4g","kv","correct",91.67
"61","f5a","nl","incorrect",8.33
"62","f5a","nl","correct",91.67
"63","f5a","kv","incorrect",8.33
"64","f5a","kv","correct",91.67
"65","f5b","nl","incorrect",14.58
"66","f5b","nl","correct",85.42
"67","f5b","kv","incorrect",12.5
"68","f5b","kv","correct",87.5
