"id","stratum","block.id","block.size","treatment"
"ap01","advanced, professional","ap1",4,"KV-NL"
"ap04","advanced, professional","ap1",4,"KV-NL"
"ap05","advanced, professional","ap2",4,"KV-NL"
"ap08","advanced, professional","ap2",4,"KV-NL"
"ap09","advanced, professional","ap3",4,"KV-NL"
"ap11","advanced, professional","ap3",4,"KV-NL"
"ap02","advanced, professional","ap1",4,"NL-KV"
"ap03","advanced, professional","ap1",4,"NL-KV"
"ap06","advanced, professional","ap2",4,"NL-KV"
"ap07","advanced, professional","ap2",4,"NL-KV"
"ap10","advanced, professional","ap3",4,"NL-KV"
"ap12","advanced, professional","ap3",4,"NL-KV"
