"id","stratum","block.id","block.size","treatment"
"as01","advanced, student","as1",4,"KV-NL"
"as02","advanced, student","as1",4,"KV-NL"
"as05","advanced, student","as2",4,"KV-NL"
"as06","advanced, student","as2",4,"KV-NL"
"as09","advanced, student","as3",4,"KV-NL"
"as12","advanced, student","as3",4,"KV-NL"
"as03","advanced, student","as1",4,"NL-KV"
"as04","advanced, student","as1",4,"NL-KV"
"as07","advanced, student","as2",4,"NL-KV"
"as08","advanced, student","as2",4,"NL-KV"
"as10","advanced, student","as3",4,"NL-KV"
"as11","advanced, student","as3",4,"NL-KV"
