"id","stratum","block.id","block.size","treatment"
"bs02","beginner, student","bs1",4,"KV-NL"
"bs04","beginner, student","bs1",4,"KV-NL"
"bs05","beginner, student","bs2",4,"KV-NL"
"bs08","beginner, student","bs2",4,"KV-NL"
"bs10","beginner, student","bs3",4,"KV-NL"
"bs12","beginner, student","bs3",4,"KV-NL"
"bs01","beginner, student","bs1",4,"NL-KV"
"bs03","beginner, student","bs1",4,"NL-KV"
"bs06","beginner, student","bs2",4,"NL-KV"
"bs07","beginner, student","bs2",4,"NL-KV"
"bs09","beginner, student","bs3",4,"NL-KV"
"bs11","beginner, student","bs3",4,"NL-KV"
