subject;preference
1;preferKV
2;preferNL
3;preferKV
4;preferKV
5;preferKV
6;preferKV
7;preferKV
8;preferKV
9;preferKV
10;preferKV
11;preferKV
12;preferNL
13;preferKV
14;nopref
15;nopref
16;preferNL
17;preferKV
18;preferKV
19;preferKV
20;preferKV
21;preferKV
22;preferKV
23;preferKV
24;preferKV
25;nopref
26;preferKV
27;preferKV
28;nopref
29;preferKV
30;preferKV
31;preferKV
32;preferKV
33;preferNL
34;preferNL
35;preferKV
36;preferNL
37;preferKV
38;preferNL
39;preferKV
40;preferNL
41;preferNL
42;preferKV
43;preferKV
44;preferKV
45;nopref
46;preferKV
47;nopref
48;preferKV
