"","question","answer","notion"
"1","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"2","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"3","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"4","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"5","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"6","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"7","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"8","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"9","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"10","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"11","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"12","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"13","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"14","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"15","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"16","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"17","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"18","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"19","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"20","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"21","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"22","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"23","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"24","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"25","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"26","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"27","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"28","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"29","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"30","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"31","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"32","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"33","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"34","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"35","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"36","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"37","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"38","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"39","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"40","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"41","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"42","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"43","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"44","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"45","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"46","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"47","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"48","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"49","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"50","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"51","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"52","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"53","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"54","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"55","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"56","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"57","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"58","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"59","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"60","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"61","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"62","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"63","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"64","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"65","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"66","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"67","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"68","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"69","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"70","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"71","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"72","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"73","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"74","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"75","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"76","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"77","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"78","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"79","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"80","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"81","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"82","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"83","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"84","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"85","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"86","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"87","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"88","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"89","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"90","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"91","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"92","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"93","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"94","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"95","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"96","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"97","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"98","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"99","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"100","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"101","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"102","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"103","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"104","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"105","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"106","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"107","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"108","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"109","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"110","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"111","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"112","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"113","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"114","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"115","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"116","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"117","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"118","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"119","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"120","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"121","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"122","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"123","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"124","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"125","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"126","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"127","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"128","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"129","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"130","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"131","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"132","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"133","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"134","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"135","PQ2. I think the notation would be easy to use.","Agree","positive"
"136","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"137","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"138","PQ2. I think the notation would be easy to use.","Agree","positive"
"139","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"140","PQ2. I think the notation would be easy to use.","Agree","positive"
"141","PQ2. I think the notation would be easy to use.","Neutral","positive"
"142","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"143","PQ2. I think the notation would be easy to use.","Agree","positive"
"144","PQ2. I think the notation would be easy to use.","Agree","positive"
"145","PQ2. I think the notation would be easy to use.","Agree","positive"
"146","PQ2. I think the notation would be easy to use.","Agree","positive"
"147","PQ2. I think the notation would be easy to use.","Neutral","positive"
"148","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"149","PQ2. I think the notation would be easy to use.","Agree","positive"
"150","PQ2. I think the notation would be easy to use.","Agree","positive"
"151","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"152","PQ2. I think the notation would be easy to use.","Agree","positive"
"153","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"154","PQ2. I think the notation would be easy to use.","Agree","positive"
"155","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"156","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"157","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"158","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"159","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"160","PQ2. I think the notation would be easy to use.","Agree","positive"
"161","PQ2. I think the notation would be easy to use.","Agree","positive"
"162","PQ2. I think the notation would be easy to use.","Agree","positive"
"163","PQ2. I think the notation would be easy to use.","Agree","positive"
"164","PQ2. I think the notation would be easy to use.","Agree","positive"
"165","PQ2. I think the notation would be easy to use.","Disagree","positive"
"166","PQ2. I think the notation would be easy to use.","Neutral","positive"
"167","PQ2. I think the notation would be easy to use.","Agree","positive"
"168","PQ2. I think the notation would be easy to use.","Neutral","positive"
"169","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"170","PQ2. I think the notation would be easy to use.","Disagree","positive"
"171","PQ2. I think the notation would be easy to use.","Neutral","positive"
"172","PQ2. I think the notation would be easy to use.","Disagree","positive"
"173","PQ2. I think the notation would be easy to use.","Agree","positive"
"174","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"175","PQ2. I think the notation would be easy to use.","Disagree","positive"
"176","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"177","PQ2. I think the notation would be easy to use.","Agree","positive"
"178","PQ2. I think the notation would be easy to use.","Agree","positive"
"179","PQ2. I think the notation would be easy to use.","Disagree","positive"
"180","PQ2. I think the notation would be easy to use.","Neutral","positive"
"181","PQ2. I think the notation would be easy to use.","Disagree","positive"
"182","PQ2. I think the notation would be easy to use.","Agree","positive"
"183","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"184","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"185","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"186","PQ2. I think the notation would be easy to use.","Agree","positive"
"187","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"188","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"189","PQ2. I think the notation would be easy to use.","Agree","positive"
"190","PQ2. I think the notation would be easy to use.","Agree","positive"
"191","PQ2. I think the notation would be easy to use.","Neutral","positive"
"192","PQ2. I think the notation would be easy to use.","Disagree","positive"
"193","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"194","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"195","PQ2. I think the notation would be easy to use.","Agree","positive"
"196","PQ2. I think the notation would be easy to use.","Agree","positive"
"197","PQ2. I think the notation would be easy to use.","Agree","positive"
"198","PQ2. I think the notation would be easy to use.","Agree","positive"
"199","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"200","PQ2. I think the notation would be easy to use.","Agree","positive"
"201","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"202","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"203","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"204","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"205","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"206","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"207","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"208","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"209","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"210","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"211","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"212","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"213","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"214","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"215","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"216","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"217","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"218","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"219","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"220","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"221","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"222","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Agree","negative"
"223","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"224","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"225","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"226","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"227","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"228","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"229","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"230","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"231","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"232","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"233","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"234","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"235","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"236","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"237","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"238","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"239","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"240","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"241","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"242","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"243","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"244","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"245","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"246","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"247","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"248","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"249","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"250","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"251","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"252","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Agree","negative"
"253","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"254","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"255","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"256","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"257","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"258","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"259","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"260","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"261","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"262","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"263","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"264","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"265","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"266","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"267","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"268","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"269","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"270","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"271","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"272","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"273","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"274","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"275","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"276","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"277","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"278","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"279","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"280","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"281","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"282","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"283","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"284","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"285","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"286","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"287","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"288","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"289","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"290","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"291","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"292","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"293","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"294","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"295","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"296","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"297","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"298","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"299","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"300","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"301","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"302","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"303","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"304","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"305","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"306","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"307","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"308","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"309","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"310","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"311","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"312","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"313","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"314","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"315","PQ3. I find the various functions in this notation are well integrated.","Disagree","positive"
"316","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"317","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"318","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"319","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"320","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"321","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"322","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
