"","question","answer","notion"
"1","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"2","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"3","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"4","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"5","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"6","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"7","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"8","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"9","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"10","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"11","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"12","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"13","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"14","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"15","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"16","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"17","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"18","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"19","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"20","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"21","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"22","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"23","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"24","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"25","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"26","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"27","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"28","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"29","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"30","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"31","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"32","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"33","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"34","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"35","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"36","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"37","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"38","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
